오렌지,연한오렌지
그레이,회
화이트,흰
브라운,갈
블랙,검정
코발트,짙은청록
코럴,산호
피치오렌지,오렌지
로열블루,밝은남
터키오이스,옥
네온그린,형광초록
핑크,연한핑크
